ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
16709,2022-01-11 19:00:00,2.806773896188801,142.38,long,-1,-7.697016055518572,SOLUSDT,-1.9260429835651132,139.92,2022-01-12 02:00:00,0 days 07:00:00,SIGNAL
16712,2022-01-21 22:00:00,-3.5211192769097006,113.03,short,16712,38.20239943986853,SOLUSDT,9.598783066442534,101.9655,2022-01-22 12:00:00,0 days 14:00:00,TRAILING STOP
16714,2022-01-22 13:00:00,-3.9696221261797895,102.18,short,-1,8.765124135711327,SOLUSDT,2.1609414758269825,99.77,2022-01-22 14:00:00,0 days 01:00:00,SIGNAL
16717,2022-01-22 19:00:00,-4.5246713475753815,90.04,short,16717,-21.252799851661166,SOLUSDT,-5.216673145268756,94.5525,2022-01-22 20:00:00,0 days 01:00:00,TRAILING STOP
16719,2022-02-01 06:00:00,3.8381755468109233,105.04,long,-1,18.173646068883272,SOLUSDT,4.5077779893373835,109.99,2022-02-02 00:00:00,0 days 18:00:00,SIGNAL
16722,2022-02-03 03:00:00,-4.071164208027104,99.93,short,16722,1.7170582875417575,SOLUSDT,0.42205643950766464,99.309,2022-02-03 15:00:00,0 days 12:00:00,TRAILING STOP
16724,2022-02-15 09:00:00,3.960841516508443,102.79,long,-1,-0.893407412463685,SOLUSDT,-0.21943768849110834,102.77,2022-02-15 16:00:00,0 days 07:00:00,SIGNAL
16727,2022-02-27 18:00:00,-4.606111418261144,88.35,short,-1,6.839891211661053,SOLUSDT,1.6807696661007319,86.69,2022-02-28 04:00:00,0 days 10:00:00,SIGNAL
16730,2022-02-28 20:00:00,4.244051304804159,96.2,long,-1,-0.3501766731593935,SOLUSDT,-0.08576923076923135,96.31,2022-03-01 06:00:00,0 days 10:00:00,SIGNAL
16733,2022-03-02 11:00:00,3.8693389990427742,105.52,long,16733,-21.2108032287487,SOLUSDT,-5.194999999999996,100.244,2022-03-02 13:00:00,0 days 02:00:00,TRAILING STOP
16735,2022-03-23 16:00:00,4.223421432590852,95.68,long,-1,32.185934521916984,SOLUSDT,7.964903846153836,103.5,2022-03-25 04:00:00,1 days 12:00:00,SIGNAL
16738,2022-03-28 14:00:00,3.6683242591975156,111.90000000000002,long,16738,-18.261068563579915,SOLUSDT,-4.448651474530844,107.141,2022-03-28 23:00:00,0 days 09:00:00,TRAILING STOP
16740,2022-04-01 20:00:00,2.960105642146636,137.42,long,-1,-7.9402761776633906,SOLUSDT,-1.9519938873526395,135.01,2022-04-02 03:00:00,0 days 07:00:00,SIGNAL
16743,2022-04-12 21:00:00,-3.975772105267023,101.92,short,-1,-7.774980171339138,SOLUSDT,-1.91875,103.67,2022-04-13 04:00:00,0 days 07:00:00,SIGNAL
16746,2022-04-18 18:00:00,3.9946270344170935,101.07,long,-1,2.305219369021421,SOLUSDT,0.5709706144256468,101.85,2022-04-19 08:00:00,0 days 14:00:00,SIGNAL
16749,2022-04-20 12:00:00,3.6601846711529182,110.43,long,16749,-21.032625321201497,SOLUSDT,-5.203594132029345,104.899,2022-04-20 15:00:00,0 days 03:00:00,TRAILING STOP
16751,2022-04-25 19:00:00,4.009174705765902,99.76,long,-1,3.7259265128035235,SOLUSDT,0.9315858059342377,100.89,2022-04-26 09:00:00,0 days 14:00:00,SIGNAL
16754,2022-04-27 12:00:00,4.038497374611021,99.22,long,-1,-4.4324124085306025,SOLUSDT,-1.1061681112678954,98.32,2022-04-27 17:00:00,0 days 05:00:00,SIGNAL
16757,2022-04-29 21:00:00,-4.267415013598934,93.69,short,-1,-5.242177951005229,SOLUSDT,-1.3111538051019385,94.73,2022-04-30 02:00:00,0 days 05:00:00,SIGNAL
16760,2022-05-09 13:00:00,-5.5880987166772025,71.38,short,16760,16.181879355335198,SOLUSDT,4.056844354160808,68.34450000000001,2022-05-09 20:00:00,0 days 07:00:00,TRAILING STOP
16762,2022-05-09 21:00:00,-6.044201881678302,66.51,short,16762,6.710405901480675,SOLUSDT,1.6692557510148915,65.268,2022-05-10 00:00:00,0 days 03:00:00,TRAILING STOP
