ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
18556,2022-01-04 19:00:00,-487.4364474266889,0.8199,short,-1,-5.434575183294414,XRPUSDT,-1.359836565434817,0.8294,2022-01-05 03:00:00,0 days 08:00:00,SIGNAL
18559,2022-01-06 06:00:00,-523.6722344191172,0.7611,short,-1,-1.1640710098902733,XRPUSDT,-0.29206411772435076,0.7618,2022-01-06 08:00:00,0 days 02:00:00,SIGNAL
18562,2022-01-07 07:00:00,-534.7502534540688,0.7449,short,-1,-11.770013503600069,XRPUSDT,-2.9547993019197154,0.7654,2022-01-07 09:00:00,0 days 02:00:00,SIGNAL
18565,2022-01-07 16:00:00,-529.1771421049453,0.7482,short,-1,-7.942895985281055,XRPUSDT,-2.0061347233360154,0.7617,2022-01-07 23:00:00,0 days 07:00:00,SIGNAL
18568,2022-01-21 22:00:00,-623.3691835568585,0.6322,short,-1,-10.460072563165772,XRPUSDT,-2.6542075292629024,0.6477,2022-01-22 02:00:00,0 days 04:00:00,SIGNAL
18571,2022-01-31 07:00:00,-671.5518249101586,0.5841,short,-1,-9.657855414763024,XRPUSDT,-2.462146892655385,0.5973,2022-01-31 16:00:00,0 days 09:00:00,SIGNAL
18574,2022-02-02 22:00:00,-648.9173391330216,0.6015,short,-1,-3.184042707923949,XRPUSDT,-0.8157439733998214,0.6052,2022-02-03 06:00:00,0 days 08:00:00,SIGNAL
18577,2022-02-07 06:00:00,523.3516077347529,0.7446,long,18577,55.997159259874934,XRPUSDT,14.369756244963735,0.853195,2022-02-08 08:00:00,1 days 02:00:00,TRAILING STOP
18579,2022-02-18 12:00:00,-516.1934724796082,0.7767,short,-1,-5.193887100742602,XRPUSDT,-1.295468005665001,0.7852,2022-02-18 23:00:00,0 days 11:00:00,SIGNAL
18582,2022-02-22 06:00:00,-582.6845104156159,0.6862,short,-1,-9.607010865477468,XRPUSDT,-2.4027251530166134,0.7013,2022-02-22 12:00:00,0 days 06:00:00,SIGNAL
18585,2022-02-24 06:00:00,-628.0281381893791,0.6333,short,-1,-4.818859904327152,XRPUSDT,-1.2115900836886269,0.6397,2022-02-24 12:00:00,0 days 06:00:00,SIGNAL
18588,2022-02-28 23:00:00,509.83280141933847,0.7787,long,-1,-6.956821525207299,XRPUSDT,-1.7523179658405035,0.7666,2022-03-01 10:00:00,0 days 11:00:00,SIGNAL
18591,2022-03-04 20:00:00,-554.0137883114652,0.7141,short,-1,-4.2850196456950735,XRPUSDT,-1.0831116090183563,0.7204,2022-03-05 07:00:00,0 days 11:00:00,SIGNAL
18594,2022-03-07 20:00:00,-554.9131127133818,0.7113,short,-1,-8.677065360876602,XRPUSDT,-2.198341065654434,0.7255,2022-03-08 03:00:00,0 days 07:00:00,SIGNAL
18597,2022-03-12 21:00:00,493.37855327086754,0.7966,long,-1,-3.2504765846591317,XRPUSDT,-0.8270399196585494,0.7916,2022-03-13 12:00:00,0 days 15:00:00,SIGNAL
18600,2022-03-16 20:00:00,499.1432211312789,0.7859,long,-1,-0.6848244993921256,XRPUSDT,-0.17457691818297771,0.7861,2022-03-17 10:00:00,0 days 14:00:00,SIGNAL
18603,2022-03-22 06:00:00,460.9116743887397,0.851,long,-1,-1.8895535003241086,XRPUSDT,-0.4817391304347906,0.8485999999999999,2022-03-22 11:00:00,0 days 05:00:00,SIGNAL
18606,2022-04-04 20:00:00,-476.7151850230936,0.8219,short,-1,-2.7878304020150426,XRPUSDT,-0.7115220829784622,0.8261,2022-04-05 00:00:00,0 days 04:00:00,SIGNAL
18609,2022-04-11 22:00:00,-570.7588643313624,0.6855,short,-1,-10.266582148046783,XRPUSDT,-2.624011670313632,0.7021,2022-04-12 05:00:00,0 days 07:00:00,SIGNAL
18612,2022-04-13 07:00:00,546.0212350374637,0.7128,long,-1,-6.014969925172668,XRPUSDT,-1.5454545454545372,0.7032,2022-04-13 13:00:00,0 days 06:00:00,SIGNAL
18615,2022-04-25 06:00:00,-576.8690813884365,0.6726,short,-1,1.822502488830458,XRPUSDT,0.4697145405887525,0.6681,2022-04-25 16:00:00,0 days 10:00:00,SIGNAL
18618,2022-04-29 21:00:00,-634.7928743106687,0.6117,short,-1,-5.288142039445023,XRPUSDT,-1.3618603890796135,0.6188,2022-04-30 03:00:00,0 days 06:00:00,SIGNAL
18621,2022-05-02 13:00:00,-636.9177909344091,0.6081,short,-1,-12.05933776177304,XRPUSDT,-3.1136161815490957,0.6258,2022-05-03 02:00:00,0 days 13:00:00,SIGNAL
18624,2022-05-19 15:00:00,928.5892655559804,0.4145,long,-1,11.939150764032949,XRPUSDT,3.101881785283485,0.4282,2022-05-20 12:00:00,0 days 21:00:00,SIGNAL
18627,2022-05-27 19:00:00,-1021.5924433686425,0.3791,short,-1,-5.27407314813497,XRPUSDT,-1.3618042732788223,0.3835,2022-05-28 03:00:00,0 days 08:00:00,SIGNAL
18630,2022-06-08 19:00:00,-967.7572899330847,0.3990000000000001,short,-1,-2.5159754023679497,XRPUSDT,-0.6515789473683993,0.4008,2022-06-08 21:00:00,0 days 02:00:00,SIGNAL
18633,2022-06-10 13:00:00,-981.2496617252825,0.3931,short,-1,7.6757273538798465,XRPUSDT,1.9899262274230465,0.3845,2022-06-11 02:00:00,0 days 13:00:00,SIGNAL
18636,2022-06-24 06:00:00,1059.5426918826968,0.3655,long,-1,4.835434982945092,XRPUSDT,1.248618331053359,0.3708,2022-06-24 13:00:00,0 days 07:00:00,SIGNAL
18639,2022-06-28 03:00:00,-1132.1929855900817,0.343,short,-1,-8.483295602429333,XRPUSDT,-2.1844897959183593,0.3498,2022-06-28 08:00:00,0 days 05:00:00,SIGNAL
18642,2022-06-28 23:00:00,-1142.2399840499688,0.3384,short,-1,5.51553421098209,XRPUSDT,1.4269208037825074,0.3329,2022-06-29 20:00:00,0 days 21:00:00,SIGNAL
18645,2022-06-30 09:00:00,-1239.2455736568684,0.3129,short,-1,-8.218428795377626,XRPUSDT,-2.1194630872483238,0.3189,2022-06-30 18:00:00,0 days 09:00:00,SIGNAL
18648,2022-07-08 06:00:00,1096.2623451420286,0.3521,long,-1,-3.9479695835600026,XRPUSDT,-1.0228060210167604,0.3492,2022-07-08 09:00:00,0 days 03:00:00,SIGNAL
18651,2022-07-13 19:00:00,1209.8152217742083,0.3184,long,-1,-0.6495497925705858,XRPUSDT,-0.16862437185929993,0.3185,2022-07-14 08:00:00,0 days 13:00:00,SIGNAL
18654,2022-07-14 13:00:00,-1221.6858706680587,0.3151,short,-1,-6.272990440119286,XRPUSDT,-1.6295461758172023,0.3196,2022-07-14 17:00:00,0 days 04:00:00,SIGNAL
18657,2022-07-15 06:00:00,1123.6008246232188,0.3415,long,-1,-7.05329181648985,XRPUSDT,-1.8381844802342748,0.3359,2022-07-15 07:00:00,0 days 01:00:00,SIGNAL
18660,2022-07-21 05:00:00,-1071.7847325591586,0.3569,short,-1,-1.5160395042049064,XRPUSDT,-0.3963295040627566,0.3576,2022-07-21 10:00:00,0 days 05:00:00,SIGNAL
18663,2022-07-26 00:00:00,-1136.555287273238,0.3362,short,-1,3.9003167793355624,XRPUSDT,1.020731707317071,0.3321,2022-07-26 10:00:00,0 days 10:00:00,SIGNAL
