ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
5823,2022-02-05 08:00:00,0.009656851043231272,41379.99,long,5823,11.932731971910304,BTCUSDT,2.9861661759705536,42699.744999999995,2022-02-11 00:00:00,5 days 16:00:00,TRAILING STOP
5825,2022-02-27 12:00:00,0.010182031363698638,39479.8,long,5825,-20.883097987200927,BTCUSDT,-5.194999999999995,37505.810000000005,2022-02-27 16:00:00,0 days 04:00:00,TRAILING STOP
5827,2022-03-01 08:00:00,0.009146586359775461,43492.96,long,5827,-12.608689117231783,BTCUSDT,-3.169508582538415,42200.14,2022-03-03 16:00:00,2 days 08:00:00,TRAILING STOP
5829,2022-04-02 12:00:00,0.008493097887396175,46542.84,long,-1,-5.877785131848463,BTCUSDT,-1.4869442861673128,45943.26,2022-04-03 04:00:00,0 days 16:00:00,SIGNAL
5832,2022-04-26 08:00:00,0.009711059972001437,40584.5,long,5832,-20.4744567728803,BTCUSDT,-5.194999999999996,38555.275,2022-04-26 12:00:00,0 days 04:00:00,TRAILING STOP
5834,2022-07-20 08:00:00,0.01668126727905393,23381.18,long,5834,-7.73221241503058,BTCUSDT,-1.98247769573648,22963.9985,2022-07-20 20:00:00,0 days 12:00:00,TRAILING STOP
5836,2022-08-11 12:00:00,0.015818109963498635,24559.37,long,5836,-15.468609203489777,BTCUSDT,-3.981800119465607,23629.654,2022-08-17 12:00:00,6 days 00:00:00,TRAILING STOP
5838,2022-09-29 08:00:00,0.0199069192712474,19360.4,long,5838,-1.2181602390697304,BTCUSDT,-0.31607201039236965,19337.905499999997,2022-10-07 16:00:00,8 days 08:00:00,TRAILING STOP
5840,2022-10-26 12:00:00,0.018689457803891155,20606.86,long,-1,-3.0908518786165873,BTCUSDT,-0.8025455115432475,20482.57,2022-11-01 04:00:00,5 days 16:00:00,SIGNAL
5843,2022-12-14 08:00:00,0.021595587254118465,17805.54,long,5843,-14.723132356468705,BTCUSDT,-3.828953115154035,17158.738500000003,2022-12-16 08:00:00,2 days 00:00:00,TRAILING STOP
