ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
4589,2022-01-26 08:00:00,643.68621069652,0.6207,long,4589,-9.63769156101631,XRPUSDT,-2.4122208796520073,0.606955,2022-01-26 20:00:00,0 days 12:00:00,TRAILING STOP
4591,2022-04-27 00:00:00,-619.4311322443859,0.642,short,-1,-4.453647897723921,XRPUSDT,-1.1199221183800652,0.6479,2022-04-28 04:00:00,1 days 04:00:00,SIGNAL
4594,2022-04-29 12:00:00,-641.0096076915845,0.6191,short,4594,2.65517397173983,XRPUSDT,0.6690639638184313,0.6137250000000001,2022-05-02 00:00:00,2 days 12:00:00,TRAILING STOP
4596,2022-06-09 00:00:00,991.8009272370163,0.4007,long,-1,-13.972590643007788,XRPUSDT,-3.515872223608679,0.3874,2022-06-10 16:00:00,1 days 16:00:00,SIGNAL
4599,2022-06-16 00:00:00,1148.2064174882112,0.3436,long,4599,-20.49550751629289,XRPUSDT,-5.194999999999992,0.32642000000000004,2022-06-16 04:00:00,0 days 04:00:00,TRAILING STOP
4601,2022-06-24 16:00:00,1080.6219721898353,0.3614,long,-1,2.7814128942194443,XRPUSDT,0.71220254565579,0.3647,2022-06-26 20:00:00,2 days 04:00:00,SIGNAL
4604,2022-07-29 20:00:00,1065.3527122729686,0.367,long,-1,3.688038019346543,XRPUSDT,0.9432697547683875,0.3712,2022-07-30 12:00:00,0 days 16:00:00,SIGNAL
4607,2022-08-18 20:00:00,1037.1228915470365,0.3777,long,4607,-20.349922373333534,XRPUSDT,-5.194999999999996,0.358815,2022-08-19 04:00:00,0 days 08:00:00,TRAILING STOP
4609,2022-08-28 00:00:00,-1158.5636508703078,0.3346,short,-1,0.26843919790666415,XRPUSDT,0.06924686192468976,0.3337,2022-08-30 00:00:00,2 days 00:00:00,SIGNAL
4612,2022-10-07 20:00:00,747.8955088475714,0.5184,long,-1,-6.902028492950686,XRPUSDT,-1.7802083333333305,0.5102,2022-10-09 04:00:00,1 days 08:00:00,SIGNAL
4615,2022-10-22 00:00:00,837.2995342753852,0.4613,long,4615,-14.105700572095769,XRPUSDT,-3.651996531541298,0.44536,2022-10-25 00:00:00,3 days 00:00:00,TRAILING STOP
4617,2022-12-16 20:00:00,-1056.797143350885,0.3629,short,-1,16.15863968126372,XRPUSDT,4.21333700744007,0.3469,2022-12-20 16:00:00,3 days 20:00:00,SIGNAL
