,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.3925715488215488,0.39184398076150656,0.3775151515151515,0.38716814159292035,0.5669251239623142
1,train,fold_1,epoch_2,0.5232427045376685,0.41109706444757993,0.36961704278272617,0.48451327433628316,0.6471117709704586
2,train,fold_2,epoch_1,0.4077595422247375,0.40697423379966696,0.3926249199641439,0.40486725663716816,0.5506074897205601
3,train,fold_2,epoch_2,0.6262432791651107,0.4487933764043553,0.4153427563066117,0.5154867256637168,0.6810081610412396
4,train,fold_3,epoch_1,0.4102997827629061,0.4160185026739119,0.39929448494504255,0.413716814159292,0.5771817107420022
5,train,fold_3,epoch_2,0.5221166593018117,0.41198121319940634,0.37263153236868884,0.4823008849557522,0.6531026395358976
6,train,fold_4,epoch_1,0.4127450980392157,0.3981400476546108,0.37320116207412624,0.38716814159292035,0.5672580950805955
7,train,fold_4,epoch_2,0.3395061728395062,0.4333222333222333,0.3800485051402571,0.5066371681415929,0.6769356665398911
8,train,fold_5,epoch_1,0.37693404634581107,0.384599435084872,0.3692277779179298,0.3805309734513274,0.5579748391516329
9,train,fold_5,epoch_2,0.564110940729382,0.43421993324905944,0.4054795402115012,0.5022123893805309,0.6648028820596825
10,eval,fold_1,epoch_1,0.6611111111111111,0.43283446712018137,0.3934872466982558,0.49557522123893805,0.6986933575326432
11,eval,fold_1,epoch_2,0.7142309167625623,0.46492935635792776,0.42841880341880345,0.5486725663716814,0.7290191811620383
12,eval,fold_2,epoch_1,0.40956312349501206,0.369178440607012,0.34885486264506554,0.415929203539823,0.5736181377246324
13,eval,fold_2,epoch_2,0.4290598290598291,0.3894075848963067,0.36013287712849934,0.46017699115044247,0.595484825846668
14,eval,fold_3,epoch_1,0.34193899782135073,0.4398496240601504,0.38416915525349254,0.5132743362831859,0.6630285094050651
15,eval,fold_3,epoch_2,0.34222380275011854,0.43197278911564624,0.3768888888888889,0.5132743362831859,0.6874354538455524
16,eval,fold_4,epoch_1,0.630718954248366,0.40491452991452986,0.38095238095238093,0.46017699115044247,0.5635262583538446
17,eval,fold_4,epoch_2,0.6096296296296296,0.37446581196581197,0.3509252806813783,0.4336283185840708,0.5912792434344158
18,eval,fold_5,epoch_1,0.5001130710085934,0.4460470085470085,0.3917340521114106,0.49557522123893805,0.6552090552090553
19,eval,fold_5,epoch_2,0.6752902155887229,0.4471153846153846,0.40647189632696873,0.5132743362831859,0.6689779633745151
