timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-01-01,170.01000000,179.20000000,169.93000000,179.06000000,634599.39000000,2022-01-01 23:59:59.999,110585214.91650000,179793,328250.16000000,57202310.01530000,0
2022-01-02,179.06000000,179.53000000,174.31000000,176.35000000,620087.38000000,2022-01-02 23:59:59.999,109509310.71340000,176256,313106.42000000,55294227.83680000,0
2022-01-03,176.34000000,176.49000000,166.59000000,170.15000000,1031316.43000000,2022-01-03 23:59:59.999,177240351.97020000,250131,537423.71000000,92331450.11780000,0
2022-01-04,170.14000000,173.93000000,166.47000000,167.72000000,1041332.63000000,2022-01-04 23:59:59.999,176538222.72980000,264666,507127.47000000,86029904.46010000,0
2022-01-05,167.74000000,171.32000000,144.92000000,154.52000000,1659848.17000000,2022-01-05 23:59:59.999,266979906.63840000,460130,775826.33000000,125014421.95460000,0
2022-01-06,154.48000000,154.80000000,145.98000000,150.26000000,1575071.30000000,2022-01-06 23:59:59.999,236312050.38370000,400706,783017.39000000,117506026.09910000,0
2022-01-07,150.28000000,150.72000000,133.08000000,136.45000000,2719397.30000000,2022-01-07 23:59:59.999,380212392.35150000,624203,1356742.09000000,189682437.97840000,0
2022-01-08,136.43000000,148.11000000,133.00000000,142.14000000,2695415.51000000,2022-01-08 23:59:59.999,380841698.63520000,596637,1333341.19000000,188360420.16050000,0
2022-01-09,142.10000000,145.71000000,137.83000000,140.82000000,1435153.15000000,2022-01-09 23:59:59.999,203808588.25020000,314235,708108.49000000,100610867.79930000,0
2022-01-10,140.82000000,143.86000000,130.00000000,135.86000000,1894512.51000000,2022-01-10 23:59:59.999,257484771.76580000,419461,941801.48000000,127988772.74650000,0
2022-01-11,135.84000000,143.50000000,133.58000000,140.20000000,1328579.57000000,2022-01-11 23:59:59.999,184178762.88540000,294874,655238.34000000,90779635.50150000,0
2022-01-12,140.19000000,153.39000000,138.22000000,151.51000000,1946788.76000000,2022-01-12 23:59:59.999,284704608.14150000,453450,1014395.70000000,148380253.91050000,0
2022-01-13,151.50000000,157.80000000,145.41000000,146.14000000,1984121.59000000,2022-01-13 23:59:59.999,300358586.19740000,471549,1004170.43000000,151995901.26560000,0
2022-01-14,146.13000000,150.56000000,141.84000000,146.17000000,1428145.30000000,2022-01-14 23:59:59.999,209190212.32340000,339770,702561.97000000,102878722.29010000,0
2022-01-15,146.18000000,149.49000000,143.90000000,147.64000000,865014.75000000,2022-01-15 23:59:59.999,126821898.96230000,205770,422395.84000000,61920893.60360000,0
2022-01-16,147.61000000,151.96000000,146.09000000,147.98000000,964270.14000000,2022-01-16 23:59:59.999,143408413.91330000,236998,475923.20000000,70802594.79260000,0
2022-01-17,147.98000000,148.29000000,137.02000000,139.80000000,1297654.14000000,2022-01-17 23:59:59.999,184551841.50540000,283258,619994.54000000,88125965.51980000,0
2022-01-18,139.81000000,142.77000000,134.39000000,141.22000000,1254337.17000000,2022-01-18 23:59:59.999,173470525.68410000,264708,612173.99000000,84700670.18250000,0
2022-01-19,141.32000000,142.70000000,132.77000000,135.25000000,1175171.39000000,2022-01-19 23:59:59.999,160857229.20320000,264765,579951.57000000,79386769.61740000,0
2022-01-20,135.23000000,143.83000000,126.01000000,127.54000000,1464593.98000000,2022-01-20 23:59:59.999,200702305.01300000,345417,731310.23000000,100360744.25440000,0
2022-01-21,127.54000000,128.73000000,106.11000000,112.27000000,4523020.69000000,2022-01-21 23:59:59.999,544063534.41050000,939567,2184275.76000000,262870033.23350000,0
2022-01-22,112.24000000,114.89000000,87.73000000,94.54000000,6455608.98000000,2022-01-22 23:59:59.999,635108263.42860000,1002353,3143606.01000000,308952787.29150000,0
2022-01-23,94.57000000,104.82000000,93.25000000,99.78000000,3561751.04000000,2022-01-23 23:59:59.999,351997642.88360000,592647,1815827.00000000,179513410.61140000,0
2022-01-24,99.74000000,99.83000000,80.83000000,91.93000000,6990036.71000000,2022-01-24 23:59:59.999,615205074.60800000,1012868,3409943.38000000,299702337.35510000,0
2022-01-25,91.94000000,99.95000000,87.41000000,94.67000000,3482711.32000000,2022-01-25 23:59:59.999,324014683.73600000,566575,1745302.72000000,162439606.67280000,0
2022-01-26,94.65000000,104.43000000,89.19000000,92.12000000,4501340.69000000,2022-01-26 23:59:59.999,434996978.69070000,713943,2255753.00000000,217969271.56690000,0
2022-01-27,92.11000000,94.60000000,85.71000000,89.51000000,3530017.76000000,2022-01-27 23:59:59.999,317470432.09290000,538274,1835683.58000000,165086278.14460000,0
2022-01-28,89.51000000,93.55000000,87.21000000,91.34000000,2647317.17000000,2022-01-28 23:59:59.999,240233251.68560000,388770,1362062.51000000,123682706.75540000,0
2022-01-29,91.35000000,98.93000000,90.50000000,96.13000000,2050891.76000000,2022-01-29 23:59:59.999,194994553.82940000,331238,1077225.35000000,102415973.06330000,0
2022-01-30,96.15000000,97.60000000,91.38000000,93.29000000,1258037.51000000,2022-01-30 23:59:59.999,118979094.23970000,221424,617532.34000000,58405719.68440000,0
2022-01-31,93.26000000,101.40000000,89.18000000,99.49000000,2414101.55000000,2022-01-31 23:59:59.999,229303857.83700000,373958,1257071.83000000,119365613.78570000,0
2022-02-01,99.50000000,113.66000000,99.02000000,110.02000000,4190507.65000000,2022-02-01 23:59:59.999,451677238.58920000,732735,2181320.44000000,235027830.30060000,0
2022-02-02,109.99000000,112.35000000,96.99000000,101.88000000,4863358.10000000,2022-02-02 23:59:59.999,514972931.54110000,757019,2472488.32000000,261826718.25030000,0
2022-02-03,101.91000000,103.13000000,94.00000000,101.77000000,3886563.56000000,2022-02-03 23:59:59.999,380416658.21750000,597409,2008174.48000000,196631906.84340000,0
2022-02-04,101.83000000,112.81000000,100.28000000,112.62000000,4186388.28000000,2022-02-04 23:59:59.999,446505812.57730000,668682,2157936.43000000,230203845.83200000,0
2022-02-05,112.63000000,118.60000000,110.22000000,113.75000000,2649019.14000000,2022-02-05 23:59:59.999,302738096.09850000,507784,1335840.50000000,152742158.90090000,0
2022-02-06,113.74000000,116.06000000,111.09000000,115.28000000,1561795.12000000,2022-02-06 23:59:59.999,177818919.26750000,299806,789970.50000000,89972768.01860000,0
2022-02-07,115.26000000,121.93000000,112.69000000,117.55000000,2730695.80000000,2022-02-07 23:59:59.999,323264554.64530000,547477,1407980.10000000,166687995.16650000,0
2022-02-08,117.57000000,120.36000000,109.66000000,113.45000000,2811497.50000000,2022-02-08 23:59:59.999,321854907.03260000,525305,1374047.33000000,157341837.50280000,0
2022-02-09,113.44000000,117.08000000,109.40000000,113.93000000,2114411.38000000,2022-02-09 23:59:59.999,240051448.33350000,366554,1062788.31000000,120689587.73920000,0
2022-02-10,113.96000000,115.38000000,105.68000000,106.17000000,2781581.77000000,2022-02-10 23:59:59.999,308218719.27830000,502177,1374188.86000000,152383952.06500000,0
2022-02-11,106.18000000,108.14000000,95.14000000,96.53000000,2537227.68000000,2022-02-11 23:59:59.999,261118404.06180000,450793,1266683.23000000,130430706.91680000,0
2022-02-12,96.53000000,99.79000000,92.80000000,95.96000000,1803930.67000000,2022-02-12 23:59:59.999,173107556.45310000,316001,904645.51000000,86851077.75790000,0
2022-02-13,95.98000000,97.36000000,91.35000000,92.85000000,1216083.38000000,2022-02-13 23:59:59.999,115326539.35910000,209303,631473.42000000,59929161.74210000,0
2022-02-14,92.85000000,97.99000000,90.72000000,96.37000000,1792721.30000000,2022-02-14 23:59:59.999,169748618.50190000,307476,917531.49000000,86918621.94310000,0
2022-02-15,96.39000000,105.77000000,96.38000000,105.52000000,2362223.45000000,2022-02-15 23:59:59.999,240632353.71540000,372791,1215093.32000000,123809188.48140000,0
2022-02-16,105.52000000,105.60000000,98.27000000,101.86000000,2123159.11000000,2022-02-16 23:59:59.999,215708905.36560000,326351,1074793.49000000,109218196.30380000,0
2022-02-17,101.85000000,102.82000000,92.33000000,93.52000000,2001081.30000000,2022-02-17 23:59:59.999,194565671.92560000,307937,965733.26000000,93944705.81720000,0
2022-02-18,93.55000000,96.37000000,89.31000000,89.86000000,2010076.65000000,2022-02-18 23:59:59.999,186100175.10810000,299519,969097.49000000,89702125.85020000,0
2022-02-19,89.86000000,92.75000000,88.60000000,91.27000000,1285578.14000000,2022-02-19 23:59:59.999,116505357.57010000,205722,635054.20000000,57583342.86360000,0
2022-02-20,91.27000000,94.50000000,85.56000000,90.72000000,2559473.54000000,2022-02-20 23:59:59.999,229568085.46210000,403374,1258935.71000000,113062278.77830000,0
2022-02-21,90.70000000,96.14000000,82.62000000,82.96000000,4063082.80000000,2022-02-21 23:59:59.999,365437826.78670000,573189,2026196.08000000,182268037.27800000,0
