timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-01-01,46216.93000000,47954.63000000,46208.37000000,47722.65000000,19604.46325000,2022-01-01 23:59:59.999,924155159.58348650,714899,9942.36679000,468738711.79010650,0
2022-01-02,47722.66000000,47990.00000000,46654.00000000,47286.18000000,18340.46040000,2022-01-02 23:59:59.999,866610995.56335820,709624,9166.46954000,433182392.28194660,0
2022-01-03,47286.18000000,47570.00000000,45696.00000000,46446.10000000,27662.07710000,2022-01-03 23:59:59.999,1292203508.32565490,885624,13524.76045000,631879430.11428000,0
2022-01-04,46446.10000000,47557.54000000,45500.00000000,45832.01000000,35491.41360000,2022-01-04 23:59:59.999,1649170424.12761340,1021815,17689.26808000,821725463.08080750,0
2022-01-05,45832.01000000,47070.00000000,42500.00000000,43451.13000000,51784.11857000,2022-01-05 23:59:59.999,2334288544.64544840,1478532,23552.99460000,1063287226.35714140,0
2022-01-06,43451.14000000,43816.00000000,42430.58000000,43082.31000000,38880.37305000,2022-01-06 23:59:59.999,1674466154.43833260,1150707,19268.82662000,829886561.82614530,0
2022-01-07,43082.30000000,43145.83000000,40610.00000000,41566.48000000,54836.50818000,2022-01-07 23:59:59.999,2293851015.46523690,1406635,26519.39261000,1109740200.23872120,0
2022-01-08,41566.48000000,42300.00000000,40501.00000000,41679.74000000,32952.73111000,2022-01-08 23:59:59.999,1367233494.82776660,1021908,16462.53747000,683155535.42153480,0
2022-01-09,41679.74000000,42786.70000000,41200.02000000,41864.62000000,22724.39426000,2022-01-09 23:59:59.999,952830064.51258490,752733,11399.78979000,478046850.27715200,0
2022-01-10,41864.62000000,42248.50000000,39650.00000000,41822.49000000,50729.17019000,2022-01-10 23:59:59.999,2088111339.50559650,1250983,24654.54811000,1015935553.40276520,0
2022-01-11,41822.49000000,43100.00000000,41268.93000000,42729.29000000,37296.43729000,2022-01-11 23:59:59.999,1574803608.96007870,1015526,18521.95391000,782176383.10109370,0
2022-01-12,42729.29000000,44322.00000000,42450.00000000,43902.66000000,33943.29280000,2022-01-12 23:59:59.999,1470906437.71207140,1023902,17584.31885000,762205618.81556500,0
2022-01-13,43902.65000000,44500.00000000,42311.22000000,42560.11000000,34910.87762000,2022-01-13 23:59:59.999,1515944525.49549480,1036234,17175.40587000,746075123.24411320,0
2022-01-14,42558.35000000,43448.78000000,41725.95000000,43059.96000000,32640.88292000,2022-01-14 23:59:59.999,1392000443.35016740,946938,15434.18945000,658472386.24324750,0
2022-01-15,43059.96000000,43800.00000000,42555.00000000,43084.29000000,21936.05616000,2022-01-15 23:59:59.999,946488263.54844810,752688,11133.18615000,480516487.18496790,0
2022-01-16,43084.29000000,43475.00000000,42581.79000000,43071.66000000,20602.35271000,2022-01-16 23:59:59.999,887203134.05314680,732171,10052.19291000,432899939.67386430,0
2022-01-17,43071.66000000,43176.18000000,41540.42000000,42201.62000000,27562.08613000,2022-01-17 23:59:59.999,1169381684.46684350,918029,13448.54192000,570690475.97282930,0
2022-01-18,42201.63000000,42691.00000000,41250.00000000,42352.12000000,29324.08257000,2022-01-18 23:59:59.999,1228459687.39944580,905061,14527.82371000,608578954.61712590,0
2022-01-19,42352.12000000,42559.13000000,41138.56000000,41660.01000000,31685.72159000,2022-01-19 23:59:59.999,1327478459.16022980,924528,15603.74304000,653807601.67250590,0
2022-01-20,41660.00000000,43505.00000000,40553.31000000,40680.91000000,42330.33953000,2022-01-20 23:59:59.999,1784801200.40448700,1098761,20201.47991000,852629490.27878640,0
2022-01-21,40680.92000000,41100.00000000,35440.45000000,36445.31000000,88860.89199900,2022-01-21 23:59:59.999,3405501703.22193692,2092561,41615.08581900,1595831787.70003189,0
2022-01-22,36445.31000000,36835.22000000,34008.00000000,35071.42000000,90471.33896100,2022-01-22 23:59:59.999,3207531048.03065140,2099978,42722.27823300,1514027491.32039380,0
2022-01-23,35071.42000000,36499.00000000,34601.01000000,36244.55000000,44279.52354000,2022-01-23 23:59:59.999,1572414639.04287740,1142407,22841.39451000,811501507.03630610,0
2022-01-24,36244.55000000,37550.00000000,32917.17000000,36660.35000000,91904.75321100,2022-01-24 23:59:59.999,3192041586.10318994,1999352,46469.27293800,1615890700.84249996,0
2022-01-25,36660.35000000,37545.14000000,35701.00000000,36958.32000000,49232.40183000,2022-01-25 23:59:59.999,1799224214.49973920,1248246,24988.42876000,913198135.60368310,0
2022-01-26,36958.32000000,38919.98000000,36234.63000000,36809.34000000,69830.16036000,2022-01-26 23:59:59.999,2627491976.69085740,1584468,35240.31542000,1326474948.46322410,0
2022-01-27,36807.24000000,37234.47000000,35507.01000000,37160.10000000,53020.87934000,2022-01-27 23:59:59.999,1925920128.34366030,1308408,26750.94594000,971815942.27075550,0
2022-01-28,37160.11000000,38000.00000000,36155.01000000,37716.56000000,42154.26956000,2022-01-28 23:59:59.999,1560203931.22012810,1061101,21496.47551000,795847847.51234220,0
2022-01-29,37716.57000000,38720.74000000,37268.44000000,38166.84000000,26129.49682000,2022-01-29 23:59:59.999,989652386.99664940,816601,13292.42156000,503624477.65945300,0
2022-01-30,38166.83000000,38359.26000000,37351.63000000,37881.76000000,21430.66527000,2022-01-30 23:59:59.999,812750216.60103190,698593,10798.38460000,409620744.01694440,0
2022-01-31,37881.75000000,38744.00000000,36632.61000000,38466.90000000,36855.24580000,2022-01-31 23:59:59.999,1386754529.02954460,936014,18422.26954000,693360023.33165190,0
2022-02-01,38466.90000000,39265.20000000,38000.00000000,38694.59000000,34574.44663000,2022-02-01 23:59:59.999,1334266166.70999890,917617,17730.99304000,684446571.17936590,0
2022-02-02,38694.59000000,38855.92000000,36586.95000000,36896.36000000,35794.68130000,2022-02-02 23:59:59.999,1353093948.97760130,907905,17251.43687000,652533107.69991750,0
2022-02-03,36896.37000000,37387.00000000,36250.00000000,37311.61000000,32081.10999000,2022-02-03 23:59:59.999,1179502838.65662640,848961,16468.10233000,605530493.58165880,0
