Lag,Pearson_Twitter,Spearman_Twitter,Kendall_Twitter,Granger_Sentiment_Twitter_Price,Granger_Price_Twitter_Sentiment
-24,0.030088372003020086,0.023273397233197348,0.01619131307279494,,
-23,0.03713294037028563,0.022618716590453933,0.01568575572661447,,
-22,0.044699883107677196,0.029321425619127282,0.02039536759226447,,
-21,0.04511634776887127,0.02957202139229343,0.02059666944148424,,
-20,0.051221462658157746,0.029074075720425977,0.020239435773792204,,
-19,0.049553576741192644,0.02019833282991422,0.0140566632104564,,
-18,0.05715394050520354,0.018993917576340193,0.013200760293809349,,
-17,0.05372646964443296,0.018375708013029016,0.012841051531994694,,
-16,0.05077063788260671,0.01731306839575015,0.01206960528304003,,
-15,0.0507135975136294,0.015003735055039128,0.010382593216576017,,
-14,0.05540202987907135,0.034098004252370154,0.0239026573976559,,
-13,0.04945285391967435,0.034525295094748214,0.024271645692590646,,
-12,0.04468319382444897,0.03644585492710676,0.025642784407816623,,
-11,0.04904889072401623,0.02916822215876526,0.020606253165274428,,
-10,0.04286749080293124,0.026742215468987997,0.018867315314727906,,
-9,0.04266642160469646,0.02656494648539401,0.018727881506642906,,
-8,0.04103374006343196,0.02600738433763682,0.018382722136721565,,
-7,0.042584593468013875,0.02008876440930087,0.01412817402679445,,
-6,0.03501982723647799,0.024001808634257864,0.017195547577361425,,
-5,0.03318293558732377,0.01876128543746398,0.01339943000049861,,
-4,0.024641964830945832,0.025511062119701333,0.01840016044972333,,
-3,0.024151665734860103,0.020587625696020437,0.014645129006524904,,
-2,0.024822410045357016,0.024108373464301818,0.016892792308960746,,
-1,0.011684969314541358,0.01826175832552276,0.012695507857130646,,
0,0.013919121505351696,0.013583489084486741,0.009389797009870457,,
1,0.020313666695855596,0.01621899870199727,0.011231966013368382,0.05409134313315884,0.8357341121236794
2,0.025846003126853482,0.023295740927446698,0.016262820416541406,0.03489020927897495,0.005976435855696305
3,0.027469709699526702,0.02470038527117519,0.017226401293163947,0.05398861200906221,0.012370930470525069
4,0.026652440060038505,0.0302372573647713,0.021135582578277353,0.10162588565221493,0.023094989425402838
5,0.027618465753840655,0.024623318732809703,0.01717332685007403,0.1296496950104075,0.004157316310296187
6,0.032281796622387116,0.027989763322124026,0.01955305483005801,0.08352542859174268,0.005073690260170301
7,0.023898527374336308,0.020550773603274133,0.014340283372417804,0.08026984165237967,0.0008467971262192544
8,0.018185908326483098,0.01284042549778988,0.008842846506595668,0.10282271386542854,0.001876223633945705
9,0.02211404553130694,0.011496904531239232,0.007786676726196006,0.09654661360017928,0.001677798523000445
10,0.019881078172440936,0.016079127289027873,0.01100330827405727,0.13613239581942513,0.002156348377055443
11,0.007688127700238583,0.012880655658534175,0.00874815013001294,0.040964522651350026,0.0007651722155431716
12,-0.0011779117209818665,0.005993002682364612,0.0040008575750287295,0.020053874426776915,0.0011740477842845896
13,0.007341810449288294,0.007068970471432752,0.0047413853560604215,0.014849005729910452,0.00041896793983897386
14,0.004061060176939645,-0.0007360417915950455,-0.0008526141574981665,0.018968781391823716,7.801596441566627e-05
15,0.009668835613458488,-0.006105511772103705,-0.004660315629748194,0.01655747460208202,0.00015457612358666056
16,0.005465231919971871,-0.005656291871527596,-0.0041167305599140195,0.018858181176302873,0.00015485179857452865
17,0.016083078820360946,-0.004698039286805256,-0.0035305536334482063,0.006810889855703825,8.91979359317891e-05
18,0.009031846909034724,-0.0016731530109273906,-0.0013402642873338423,0.005580243628875742,3.13783212217261e-05
19,0.014015709012382405,-0.0011520285403284116,-0.0009733955286150302,0.005036436092393753,5.4295858826680156e-05
20,0.011900944222701776,0.0014622226000080246,0.0008081818997537895,0.007392478199638488,3.5274707708080996e-05
21,0.006822221490204036,-0.0001331910056325354,-0.00034150012275100224,0.007915769919965414,2.5779485345677827e-05
22,0.014155007423844871,0.009618947914114596,0.006443961075019533,0.0043799235939352785,1.815120650560864e-05
23,0.02253618675134488,0.014399739055458181,0.00979742686552448,0.002092769949646476,2.6863999796863998e-06
24,0.021087607404808167,0.010660546573571787,0.007230455480286681,0.002289155296273743,1.0693008041018191e-06
