Lag,Pearson_Twitter,Spearman_Twitter,Kendall_Twitter,Granger_Sentiment_Twitter_Price,Granger_Price_Twitter_Sentiment
-24,0.004794609942012457,0.003694965944375772,0.0026570439034713637,,
-23,0.001268283865515765,0.0031135437918187498,0.0021774538453477334,,
-22,-0.0014790566110438534,-0.001852682763233795,-0.0014062409543649068,,
-21,0.005540431420679875,0.008408360841691921,0.006027464231499596,,
-20,0.010455375613906897,0.01573017551646153,0.011280681545105833,,
-19,0.009349755937006743,0.006833909425975917,0.004775310111214619,,
-18,0.01125510571693572,0.008495374986697267,0.005980059693337889,,
-17,0.013326983301378157,0.013589296618800997,0.009630074771654371,,
-16,0.008747725020178938,0.017798435717573963,0.012665057766865497,,
-15,0.009995538062263923,0.012816436661376418,0.00909448320596817,,
-14,0.008898222318263897,0.018006095284071377,0.01284291892725545,,
-13,0.008129400531243603,0.021698161561694018,0.015537795665276067,,
-12,0.00647078790879745,0.02727901416248162,0.01946793711336808,,
-11,-5.562692747622508e-05,0.01801820990673684,0.01270410584931745,,
-10,-0.0009156773217572378,0.014912430026605293,0.01055239394912143,,
-9,0.004184339378189418,0.01948375970179146,0.013962466623557669,,
-8,0.0035658554381885078,0.013479595196413507,0.00964385978419888,,
-7,0.0007190790035910136,0.003044577957889853,0.002071616721635761,,
-6,-0.0021991008635244263,0.01052974939829872,0.007627590736762145,,
-5,-0.008300207936426801,0.004525243070475413,0.003317718698384047,,
-4,-0.012556086489180343,0.003481747710095096,0.002598560439862017,,
-3,-0.0067535543192399974,0.00891169763721125,0.006555122926958216,,
-2,-0.0028407281029065247,0.0037619250401328013,0.0027819160725423495,,
-1,0.0015375308053503728,0.004336673895742046,0.0031361268175659636,,
0,-0.003147329463445289,0.0009646829852942394,0.000607641958441209,,
1,-0.0007442471625331783,0.0016719518994553688,0.0011384825587070044,0.9364230814585499,0.353230825871631
2,-0.004057663009489012,-0.004005785286998602,-0.002943065937522045,0.7541918194502939,0.3821258837181841
3,-0.007860223951486075,-0.0069578871957077315,-0.0050762868211720056,0.7308176244892592,0.3957520157844622
4,-0.005527937566624357,-0.0018722544830196992,-0.0014879233298981563,0.8472865020414962,0.265274687168704
5,-0.004971969203603879,-0.010135450884112837,-0.007451714109984569,0.9306614418061692,0.27922787242104624
6,-0.004518711715246746,-0.0035055814658280803,-0.002590726439239511,0.9695853303855443,0.2693562249427382
7,-0.00019859037025185327,0.0075363991398498635,0.0053839345406128,0.9642087173956825,0.3203071018431823
8,-0.003933876535753146,-0.0009775308728804657,-0.0007646702742746964,0.9519693874291615,0.38172945891977567
9,-0.008833796005549061,-0.0020462614677177133,-0.0015631964820527222,0.9168026657004603,0.4885485846105645
10,-0.0022820714704392155,0.006804608009569226,0.004793605207709912,0.8866945018117,0.4857691043237894
11,-0.0036250017761174655,0.008821750506674065,0.006259534426540461,0.9190949226032592,0.5442627769812902
12,-0.011798178256226264,-0.0005190828791893595,-0.00043246286116695393,0.7573573513026534,0.4956762578462316
13,-0.010195577238670614,-0.008461741648907173,-0.006123234818932561,0.8224251487672424,0.5427326940077315
14,-0.015770352095464533,-0.015486363686915045,-0.011282878300571259,0.6945467324148511,0.6001195630812126
15,-0.008017905586735244,-0.00869924518458756,-0.006335654793634232,0.6120366529339438,0.6622631619853723
16,-0.0100210607673209,-0.015303163853783535,-0.011076345216379672,0.6331202739428284,0.7732185807289405
17,-0.02278625531256752,-0.024081599812821892,-0.01737321772516636,0.18405315195392538,0.7108709195232232
18,-0.01988690698866807,-0.020576752212544236,-0.014841112679777214,0.23176173030685743,0.7385783701630639
19,-0.011926207380943955,-0.018404081967616122,-0.01329676346675535,0.23894973045636583,0.789204261907486
20,-0.014633484413571948,-0.018304049333997412,-0.013243774537654905,0.25939181240315934,0.8161265451045896
21,-0.016630394659986277,-0.018307518337782235,-0.013264763552048758,0.2882424679716653,0.8386289315932544
22,-0.01136275961983652,-0.011308060804868871,-0.008185269777657843,0.3213535130729363,0.8013910671166538
23,-0.003812561433765762,-0.00493285931683333,-0.0035254162331688444,0.31379172352483337,0.7725820164774633
24,-0.001356046373674391,-0.013118613509388423,-0.009418932896071156,0.3475712963959631,0.7830024588489176
