Lag,Pearson_Twitter,Spearman_Twitter,Kendall_Twitter,Granger_Sentiment_Twitter_Price,Granger_Price_Twitter_Sentiment
-24,0.0033177076041317824,0.0003793570408453698,0.0005244238479197457,,
-23,0.010649379782115748,-0.010682465895728573,-0.00722502048724997,,
-22,0.025129675215224242,-0.00037231134809989326,-5.5449136407454157e-05,,
-21,0.02209809483757669,-0.00016329705159199965,1.4770717478959744e-05,,
-20,0.017555719351903688,0.0014087895892557832,0.001111928678495257,,
-19,0.021185966623222172,-0.0024397325237341017,-0.0015377016433172801,,
-18,0.020929429335169038,-0.0006813233932310542,-0.00037254835740270666,,
-17,0.023964838536335648,-0.00029955817977692805,-0.0001982223964558542,,
-16,0.023282223564841484,0.012131221119509565,0.008412226990022306,,
-15,0.029886952708209596,0.02244018819159408,0.01542334852911253,,
-14,0.030809087737581613,0.021550942292113066,0.014776348559428089,,
-13,0.035547406961054344,0.031309340082949784,0.021444323453902087,,
-12,0.024102698872023737,0.02532109154662591,0.01742227996943393,,
-11,0.02703110930306188,0.020032898830430603,0.013773460734017027,,
-10,0.03707926749482762,0.013144851622198936,0.009031916483005198,,
-9,0.04463101236135732,0.015105380599554682,0.01037655903449214,,
-8,0.029846338246502,0.006771435142121887,0.004662840257733885,,
-7,0.03495864308551343,0.012659343480521303,0.00860978260186965,,
-6,0.030630347425384993,0.012772162747886562,0.008720975069222347,,
-5,0.032365593003595046,0.01809662945799739,0.012397653202781312,,
-4,0.03194896647566924,0.019751451915672635,0.01354489827078053,,
-3,0.03576751531676242,0.01779875525093329,0.012248952754910497,,
-2,0.03939323531843508,0.02336348381459186,0.016311308630484342,,
-1,0.03226291981430031,0.019747170754588466,0.013643431046375715,,
0,0.010608495195270674,0.00038331159646781227,0.00039661488975349814,,
1,0.007165125083528706,-0.011742395679861793,-0.008153679278670467,0.49283130489024984,1.5145183557364317e-06
2,0.0021850617595125365,-0.00625096639868548,-0.004227467971383435,0.4545280562111156,1.332152619194768e-09
3,0.0027003793796284564,-0.0043243246369021595,-0.0029127071616658323,0.5841194756517734,2.0629976751020874e-09
4,0.0008770585597634075,9.098603363495872e-05,0.00010892985417217925,0.7171476456484464,8.007110246414853e-09
5,-0.0020098130218756797,-0.0029776198274074914,-0.0021005298819764297,0.7683193642088788,2.1884481734911987e-08
6,-0.0032289142513249785,-0.003853361396438331,-0.002687679982877389,0.844047525613929,5.920251229667553e-08
7,-0.002091304761762163,-0.001821421832212674,-0.0012670700614686684,0.9132797472340579,5.6186877015280265e-08
8,0.0015508386360835202,0.010572570929709304,0.007401519486913317,0.9250445139769978,9.242502649464417e-08
9,0.009079705745440127,0.01938691456605066,0.013509815558371703,0.7676261884558636,1.5708829771815336e-10
10,0.010839582683442988,0.01902086282866783,0.013222341676401302,0.8109756727525443,7.372743304170236e-12
11,0.013386683676413597,0.02541724336495513,0.017651332473034805,0.8182162376718087,8.18086753727115e-12
12,0.011019111038845864,0.019539013398206816,0.01363880398677907,0.8754023786740379,1.2493328953401313e-11
13,0.011081475336747266,0.015511889335641387,0.010833365918930731,0.9226960413311807,9.29291392407145e-13
14,-0.012652136300756026,0.004113170508244132,0.003032456300057072,0.014314300924688602,3.726311589366681e-13
15,0.002482203963137545,0.004009880513243338,0.0028862891934359255,0.001974812875604953,8.046692229056196e-13
16,-0.011063851889400298,0.00228287519956335,0.0018323567184562986,0.00021431730520087957,2.287494625220424e-12
17,0.00613967481673444,0.01407797923846141,0.009838465672861375,7.787801799943134e-06,3.351078567842166e-12
18,-0.010963535604223095,0.014082090619657766,0.010058712932406124,2.035548615293913e-07,9.233579854605899e-12
19,-0.0064456675862651375,0.014017289361592503,0.010017031120608616,3.912716395802198e-07,1.3191941436292775e-11
20,-0.008772124533083254,0.01711451564276382,0.012107204443656342,7.355797565514555e-07,1.8352748338861566e-11
21,-5.777890914816699e-05,0.015304511707075386,0.010966943713394425,6.506499902904963e-07,1.2436779751439317e-11
22,0.001459302451248222,0.017940163988058852,0.012725136931683964,1.0482282657565932e-06,2.8506995023534827e-11
23,0.0056637851479003215,0.025604515548888766,0.018102295101648656,2.0497086241965976e-06,4.1298610649256003e-13
24,0.0016858816119161451,0.007585062510441625,0.005409384144904344,3.333051823297668e-06,2.731304758666875e-13
