Lag,Pearson_Twitter,Spearman_Twitter,Kendall_Twitter,Granger_Sentiment_Twitter_Price,Granger_Price_Twitter_Sentiment
-24,-0.001994887704539408,0.002361290734468692,0.0016776778223743613,,
-23,0.0030834173197436753,0.007635098808943178,0.005622446173644571,,
-22,-0.005314993117891807,0.007424515780961303,0.0055171508499050805,,
-21,0.0007983724199798791,0.016377346837840836,0.011955410365010596,,
-20,0.006028686759020765,0.02230268478672205,0.016232399720226127,,
-19,0.0032005736197314883,0.013130825892094258,0.00958963767410721,,
-18,0.004400992243245704,0.013242610366985099,0.009583578252655833,,
-17,0.007839324802547567,0.01853921637660375,0.013417527549567647,,
-16,0.009648694300999437,0.011943826222624116,0.008693211404576044,,
-15,0.012461935074554977,0.010058654552734785,0.00725429019566879,,
-14,0.016464921977385902,0.012915592495564869,0.009310829554248858,,
-13,0.015744206358994157,0.017347836385808803,0.012553218914504526,,
-12,0.018370788204158123,0.02616453290634268,0.01893267129543674,,
-11,0.02015564886895132,0.01989044927384422,0.014383672434811437,,
-10,0.01659590084531779,0.016248293748685083,0.011709425269046876,,
-9,0.012021989270734152,0.008844270819253399,0.006343709628982224,,
-8,0.007368638063874155,0.0028301306141165607,0.0019841609174636506,,
-7,0.002341302275208198,-0.002046446779599839,-0.0015966520771523527,,
-6,0.012242037274012824,0.004570812433574515,0.00301493354574858,,
-5,0.01810625291914478,0.0074338665579823954,0.0051727469574037906,,
-4,0.0243025616494865,0.010924736447721859,0.0076308601716337035,,
-3,0.027622015505553113,0.01645562739433842,0.01158912574473573,,
-2,0.03302825782846127,0.0161638041015397,0.011394473385354549,,
-1,0.02643965521230486,0.015068838087705068,0.01060581569715131,,
0,0.012566003462071082,-0.0005194925307129266,-0.0005142789893317957,,
1,0.018857177271067074,0.006687413115103101,0.004794622553069958,0.07435342172682605,0.0013918852788949508
2,0.009656904855399741,0.0034257324781424557,0.0024796090696681664,0.06500864471228777,0.0002470318313549807
3,-0.005851223932867671,-0.0007608929341640763,-0.0005049384816831995,0.0027730055278783316,0.0005770498554711058
4,-0.008174754576014038,-0.004585764856784378,-0.003206698106738269,0.005843653722291528,0.0016677185909148235
5,-0.006704844697974535,0.0006922037400249855,0.0005293893435223757,0.01271937276884016,0.0033615922139731843
6,-0.011030732997806474,-0.004728063140818331,-0.003361010964953129,0.016202716684211003,0.004863888528897018
7,-0.010067130472451776,-0.0005513705972289633,-0.00034955351890583866,0.029970194492755283,0.002458254561361711
8,-0.01602068765583197,-0.007883949799692971,-0.0056489638661390675,0.02464221551806776,0.0019397745924658448
9,-0.011614183365287661,-0.007317177951237111,-0.005242393975400465,0.036901374606279645,0.0021887589782067208
10,-0.008554155523876871,-0.00388801867250151,-0.0027917615654568227,0.05494207789626825,0.001862719676192369
11,-0.0037132485183257323,0.0005753489391081161,0.00040282945493461987,0.06850469198355079,0.001965630221483638
12,0.0016464038841600605,0.008027499364177298,0.0057899511679810585,0.0723897217656337,0.0032281168039388626
13,0.0028958445825744703,0.005805977215358266,0.004170324673612796,0.09728946093408398,0.0054666425273987435
14,-0.0005378808017041676,-0.0017359848439163583,-0.0012139420121511989,0.11673109768251463,0.00740591287792934
15,0.004261879572875209,-0.001433577302826869,-0.0010094880668143377,0.13101011022753578,0.010793840810024309
16,-0.006636040229998471,-0.010966487311830786,-0.007901453732361884,0.03809374959763318,0.016402934338893112
17,-0.008609011043035294,-0.006307643332087895,-0.004610415931081797,0.05193628449755161,0.018143258050649997
18,-0.004439893588839862,0.0013770328256773841,0.0007902336567394633,0.060530287435385355,0.023372200612580246
19,-9.463933093544364e-05,0.004139872980611774,0.002700629713356007,0.07718736412940434,0.030881592450562913
20,-0.015683854909353236,-0.0028684102059203555,-0.002456441895833861,0.006733394917292423,0.03920303161049848
21,-0.018323978269278143,-0.004258188860722764,-0.003580131423217255,0.008438805040256271,0.04304328661522952
22,-0.014294959159686307,0.0024239750805779767,0.001396055349993557,0.012901813070932952,0.03857107270742049
23,-0.008858130354720342,0.012122024650089137,0.008502186864512701,0.017662488254264187,0.025700487190326582
24,-0.017904538402243604,-0.00477646592114202,-0.0036005647394603394,0.005786758117742789,0.03023700890161445
