,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.49097495197088575,0.4900490102951021,0.4855693567833124,0.5174482006543075,0.6643755784868272
1,train,fold_1,epoch_2,0.7144868655396888,0.6589420606488267,0.6769066646743388,0.7039258451472192,0.8352983180289769
2,train,fold_2,epoch_1,0.4696639689671161,0.473512103066651,0.46900827311760396,0.5016357688113413,0.6603206239349931
3,train,fold_2,epoch_2,0.7126366712927407,0.6663464089161262,0.6827623959567064,0.7050163576881134,0.8387575458921551
4,train,fold_3,epoch_1,0.47937811533249236,0.4801838605322402,0.47624792551323186,0.5114503816793893,0.6679291504736066
5,train,fold_3,epoch_2,0.7166228278117138,0.6685623064118341,0.6850196228215498,0.7104689203925845,0.8410552462399203
6,train,fold_4,epoch_1,0.49662963174470226,0.496431928817785,0.4935318731448539,0.5307901907356948,0.6792378345010026
7,train,fold_4,epoch_2,0.7156769718079747,0.670581054914873,0.6861114947994104,0.7106267029972752,0.8433375644308555
8,train,fold_5,epoch_1,0.49276047619680696,0.4967043047031388,0.4916895979085585,0.5231607629427792,0.6787160128728624
9,train,fold_5,epoch_2,0.6997266715427344,0.653871371131952,0.6694391799691818,0.6986376021798365,0.8402052767605083
10,eval,fold_1,epoch_1,0.6938105395740807,0.6089489039264152,0.622245384847011,0.6601307189542484,0.8272453023385427
11,eval,fold_1,epoch_2,0.720564641813132,0.6828957143050096,0.6969192567708761,0.7189542483660131,0.8602280460491333
12,eval,fold_2,epoch_1,0.6551748996146279,0.5972402749796003,0.6125876665984934,0.6579520697167756,0.8046380410723047
13,eval,fold_2,epoch_2,0.7170244313072759,0.6592221608428471,0.6754128080366698,0.7145969498910676,0.8409947191524713
14,eval,fold_3,epoch_1,0.6826393407070049,0.6005615310182478,0.6210607321920086,0.6623093681917211,0.8091001160881303
15,eval,fold_3,epoch_2,0.7131340881340882,0.6553119335947373,0.6740856915417961,0.7015250544662309,0.8399761550267472
16,eval,fold_4,epoch_1,0.6502664388930484,0.632929124776951,0.6398842815070424,0.6615720524017468,0.8006183504419068
17,eval,fold_4,epoch_2,0.7090721335767776,0.6802101014057537,0.6915578225212687,0.7139737991266376,0.8294465358727733
18,eval,fold_5,epoch_1,0.6628735632183909,0.5777135831483659,0.5986709377551661,0.631004366812227,0.8026675925537283
19,eval,fold_5,epoch_2,0.7161375661375661,0.6726291508900205,0.6885250530698023,0.7074235807860262,0.8436952146912006
